epoch,train_loss,train_acc,test_loss,test_acc
1,4.969389188857305,1.8181818181818181,4.8000311851501465,3.6363636363636362
2,4.273410831178937,5.151515151515151,4.6051382677895685,8.636363636363637
3,3.7593710195450556,10.909090909090908,3.7124951566968645,11.363636363636363
4,3.1748265765962147,19.848484848484848,3.064929485321045,22.272727272727273
5,2.747631765547253,31.21212121212121,2.65966420514243,28.636363636363637
6,2.408064365386963,36.96969696969697,2.798016684395926,24.09090909090909
7,2.0204014437539235,48.484848484848484,2.223371250288827,43.18181818181818
8,1.6807538611548287,58.333333333333336,1.6188343252454485,57.72727272727273
9,1.5227223975317818,62.878787878787875,1.6908089773995536,51.81818181818182
10,1.1798156755311149,74.39393939393939,1.5538818069866724,59.54545454545455
11,1.078353430543627,73.18181818181819,1.2109153526169913,71.36363636363636
12,0.8208826979001363,82.72727272727273,1.1553002170154028,68.18181818181819
13,0.7644121703647432,83.93939393939394,1.2277896063668388,64.0909090909091
14,0.6079606172584352,87.87878787878788,0.9483075227056231,74.54545454545455
15,0.5712709554604122,87.27272727272727,0.9346294871398381,76.81818181818181
16,0.515489399433136,89.24242424242425,0.9843295216560364,72.72727272727273
17,0.41791475954509916,92.57575757575758,0.8935392073222569,74.54545454545455
18,0.33187972222055706,94.24242424242425,0.7510070119585309,84.0909090909091
19,0.23574938802492051,97.42424242424242,0.6627443986279624,81.81818181818181
20,0.1965478871549879,97.72727272727273,0.530936735016959,89.0909090909091
21,0.18534067734366372,97.42424242424242,0.621779984661511,84.54545454545455
22,0.2674566212864149,94.54545454545455,0.7956305742263794,79.0909090909091
23,0.1785084353316398,97.87878787878788,0.42524043151310514,90.0
24,0.16296311130835897,97.87878787878788,0.504436120390892,87.27272727272727
25,0.10575909344922929,99.24242424242425,0.382392871592726,90.45454545454545
26,0.09115428087257203,98.78787878787878,0.652246641261237,81.36363636363636
27,0.08608484427843775,99.0909090909091,0.3927582097905023,90.0
28,0.1001945725154309,98.93939393939394,0.39957076736858915,90.0
29,0.09464378601738385,98.63636363636364,0.3530432177441461,90.9090909090909
30,0.08071911281773023,99.6969696969697,0.31473992126328604,92.72727272727273
31,0.07567453774667922,99.0909090909091,0.35973516958100454,92.72727272727273
32,0.06272849387356214,99.39393939393939,0.3614211891378675,89.0909090909091
33,0.06950677292687553,99.24242424242425,0.36415770437036243,90.0
34,0.06247241067744437,99.0909090909091,0.32052322051354815,91.81818181818181
35,0.05409523702803112,99.54545454545455,0.33891497552394867,90.0
36,0.035500703734301385,99.84848484848484,0.25351566448807716,95.0
37,0.024447995681493057,100.0,0.2524335336472307,94.54545454545455
38,0.02668087605741762,100.0,0.18443074928862707,95.0
39,0.02400592537153335,99.84848484848484,0.19611757461513793,95.0
40,0.026528339611277693,99.84848484848484,0.23383941182068416,94.0909090909091
41,0.019643934643162147,99.84848484848484,0.23416302406362124,95.0
42,0.023701893941809733,99.84848484848484,0.3095785491168499,93.18181818181819
43,0.020963820673170545,100.0,0.20329732607517922,95.45454545454545
44,0.015535557088220403,100.0,0.22451007472617285,93.63636363636364
45,0.013654542576876424,100.0,0.1888782807758876,95.0
46,0.010822659624474389,99.84848484848484,0.20308756508997508,95.45454545454545
47,0.015247896380190338,99.84848484848484,0.19200490521533148,94.54545454545455
48,0.01162411594053819,99.84848484848484,0.189517152096544,95.45454545454545
49,0.01511245189855496,99.84848484848484,0.23109088944537298,94.54545454545455
50,0.012514090143321525,100.0,0.21903771374906814,93.63636363636364
51,0.009716527093024481,100.0,0.1896126408662115,95.45454545454545
52,0.010137249571492984,100.0,0.16837280350072042,95.9090909090909
53,0.008869709158759741,100.0,0.17655828249241626,95.0
54,0.008029525046281162,100.0,0.17028070028339112,95.45454545454545
55,0.006418624870656501,100.0,0.1683409224663462,95.45454545454545
56,0.005944482183882168,100.0,0.17637291763510024,95.45454545454545
57,0.008025590674064699,100.0,0.1685454680451325,95.0
58,0.005940404931260716,100.0,0.16651098376938275,95.45454545454545
59,0.0067449171162609544,100.0,0.16557958775332995,96.36363636363636
60,0.006043559095511834,100.0,0.15576861798763275,96.36363636363636
61,0.0070335884090690385,100.0,0.18872863639678275,95.45454545454545
62,0.006414244694280482,100.0,0.16466728917190007,95.45454545454545
63,0.005155018464262996,100.0,0.15934731970940316,95.9090909090909
64,0.004897611703546275,100.0,0.16111391357013158,95.9090909090909
65,0.004681350042422612,100.0,0.15741310534732683,96.36363636363636
66,0.004395951095613695,100.0,0.15907365243349755,95.9090909090909
67,0.0042275636556691355,100.0,0.15417593903839588,95.9090909090909
68,0.004501919627987913,100.0,0.16205179105911935,95.45454545454545
69,0.004250506260654046,100.0,0.16214312772665704,95.0
70,0.004126835924883683,100.0,0.1621858206178461,95.45454545454545
71,0.004157206487087976,100.0,0.1597002563732011,95.45454545454545
72,0.0052249076044453046,100.0,0.1581482903233596,95.45454545454545
73,0.004123020429341566,100.0,0.15275695600679942,95.9090909090909
74,0.0037496953847862427,100.0,0.15344362067324774,95.9090909090909
75,0.003980437249300026,100.0,0.15287090039678983,96.36363636363636
76,0.0042113083902569045,100.0,0.1504605838230678,95.9090909090909
77,0.0036325793591372316,100.0,0.15536395646631718,95.9090909090909
78,0.0034114490706650983,100.0,0.15653168170579843,96.36363636363636
79,0.003699980044205274,100.0,0.15500307269394398,95.9090909090909
80,0.003890278660470531,100.0,0.15283492260745593,95.9090909090909
81,0.003538353185701583,100.0,0.1511786420430456,96.36363636363636
82,0.004607444274283591,100.0,0.15074685029685497,95.9090909090909
83,0.004048846307254973,100.0,0.15780211506145342,95.9090909090909
84,0.004513804235362581,100.0,0.15331032685935497,95.9090909090909
85,0.0035032628525403283,100.0,0.14789330107825144,95.9090909090909
86,0.003278690140827426,100.0,0.15008853349302495,96.36363636363636
87,0.0038533811956377967,100.0,0.15451595559716225,95.9090909090909
88,0.003199734991150243,100.0,0.15015659853816032,96.36363636363636
89,0.0032790943902606764,100.0,0.15196280074971064,95.9090909090909
90,0.0031641771285129444,100.0,0.15361187287739345,95.45454545454545
91,0.0036016161376166912,100.0,0.15215715180550302,95.45454545454545
92,0.003922409782673986,100.0,0.15240027808717319,96.36363636363636
93,0.003616895410232246,100.0,0.14932745162929809,95.9090909090909
94,0.003601825491170443,100.0,0.14730318688920566,95.45454545454545
95,0.003333371448596673,100.0,0.14517676351325853,95.9090909090909
96,0.0037547017148296747,100.0,0.14970217671777522,95.45454545454545
97,0.00353883495110841,100.0,0.1485004715089287,95.45454545454545
98,0.003433815353283925,100.0,0.1478772232575076,95.9090909090909
99,0.0032169258199809562,100.0,0.1516883982611554,95.45454545454545
100,0.003995393635705113,100.0,0.1502393034419843,95.9090909090909
